rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,1,g001_0058_7946,24628.186521,6,5,2,4,2026-06-12T21:16:37.453783+00:00
2,1,g001_0186_4787,23972.070134,6,10,2,4,2026-06-12T21:16:37.453802+00:00
3,1,g001_0182_3191,23934.682252,6,10,2,4,2026-06-12T21:16:37.453806+00:00
4,1,g001_0130_1514,23599.439943,6,9,2,4,2026-06-12T21:16:37.453809+00:00
5,1,g001_0054_2601,23217.688097,6,9,2,4,2026-06-12T21:16:37.453812+00:00
6,1,g001_0038_6884,23076.996774,6,7,2,4,2026-06-12T21:16:37.453815+00:00
7,1,g001_elite_0002,22973.018981,6,8,2,4,2026-06-12T21:16:37.453818+00:00
8,1,g001_0126_4536,22880.556573,6,8,2,4,2026-06-12T21:16:37.453830+00:00
9,1,g001_0062_8152,22832.781105,6,8,2,4,2026-06-12T21:16:37.453833+00:00
10,1,g001_0042_8287,22574.328449,5,12,2,4,2026-06-12T21:16:37.453835+00:00
