rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,3,g003_0140_7492,26690.856101,6,10,0,4,2026-06-13T02:04:52.446539+00:00
2,3,g003_elite_0000,26472.988202,6,8,0,4,2026-06-13T02:04:52.446550+00:00
3,3,g003_0100_1818,25177.91681,6,6,0,4,2026-06-13T02:04:52.446554+00:00
4,3,g003_0044_4258,24279.783928,6,10,0,4,2026-06-13T02:04:52.446556+00:00
5,3,g003_0132_3899,23408.092008,6,9,0,4,2026-06-13T02:04:52.446558+00:00
6,3,g003_0120_2034,23308.000689,6,9,0,4,2026-06-13T02:04:52.446560+00:00
7,3,g003_0012_7483,23170.363726,6,9,0,4,2026-06-13T02:04:52.446562+00:00
8,3,g003_0064_6693,23133.178085,6,9,0,4,2026-06-13T02:04:52.446564+00:00
9,3,g003_0104_8567,23122.63414,6,9,0,4,2026-06-13T02:04:52.446566+00:00
10,3,g003_elite_0004,23060.753029,6,9,0,4,2026-06-13T02:04:52.446568+00:00
