target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
61,2014-06-06,1,02 04 06 08 23 24 36,05 10 11 21 28 31 37,13 14,0,0,外れ
61,2014-06-06,2,02 04 05 08 23 33 36,05 10 11 21 28 31 37,13 14,1,0,外れ
61,2014-06-06,3,01 04 05 08 23 24 36,05 10 11 21 28 31 37,13 14,1,0,外れ
61,2014-06-06,4,04 05 06 08 15 23 36,05 10 11 21 28 31 37,13 14,1,0,外れ
61,2014-06-06,5,01 04 06 08 23 24 33,05 10 11 21 28 31 37,13 14,0,0,外れ
62,2014-06-13,1,02 04 05 08 23 28 36,04 10 12 15 27 32 33,09 16,1,0,外れ
62,2014-06-13,2,04 05 06 08 23 24 36,04 10 12 15 27 32 33,09 16,1,0,外れ
62,2014-06-13,3,01 04 05 08 23 30 36,04 10 12 15 27 32 33,09 16,1,0,外れ
62,2014-06-13,4,04 05 08 15 23 34 36,04 10 12 15 27 32 33,09 16,2,0,外れ
62,2014-06-13,5,02 04 06 08 23 24 28,04 10 12 15 27 32 33,09 16,1,0,外れ
63,2014-06-20,1,04 05 08 15 23 33 36,04 08 19 24 28 30 32,12 37,2,0,外れ
63,2014-06-20,2,04 06 08 15 23 24 33,04 08 19 24 28 30 32,12 37,3,0,外れ
63,2014-06-20,3,02 04 05 06 08 15 23,04 08 19 24 28 30 32,12 37,2,0,外れ
63,2014-06-20,4,04 05 08 15 23 24 28,04 08 19 24 28 30 32,12 37,4,0,5等
63,2014-06-20,5,02 04 05 08 23 28 33,04 08 19 24 28 30 32,12 37,3,0,外れ
64,2014-06-27,1,04 05 08 15 23 28 30,04 15 16 17 20 29 36,19 26,2,0,外れ
64,2014-06-27,2,04 06 08 15 23 24 28,04 15 16 17 20 29 36,19 26,2,0,外れ
64,2014-06-27,3,04 05 08 15 23 24 36,04 15 16 17 20 29 36,19 26,3,0,外れ
64,2014-06-27,4,04 05 08 23 24 28 33,04 15 16 17 20 29 36,19 26,1,0,外れ
64,2014-06-27,5,02 04 08 23 24 28 30,04 15 16 17 20 29 36,19 26,1,0,外れ
65,2014-07-04,1,04 05 08 15 23 28 36,04 07 12 22 23 24 28,25 34,3,0,外れ
65,2014-07-04,2,04 08 15 23 24 29 36,04 07 12 22 23 24 28,25 34,3,0,外れ
65,2014-07-04,3,04 05 08 15 23 24 30,04 07 12 22 23 24 28,25 34,3,0,外れ
65,2014-07-04,4,04 06 08 15 23 24 28,04 07 12 22 23 24 28,25 34,4,0,5等
65,2014-07-04,5,04 06 08 15 23 33 36,04 07 12 22 23 24 28,25 34,2,0,外れ
66,2014-07-11,1,04 05 08 15 23 24 28,01 11 25 28 31 33 37,03 20,1,0,外れ
66,2014-07-11,2,04 06 08 23 24 28 36,01 11 25 28 31 33 37,03 20,1,0,外れ
66,2014-07-11,3,04 08 15 23 24 29 36,01 11 25 28 31 33 37,03 20,0,0,外れ
66,2014-07-11,4,04 07 08 15 23 28 36,01 11 25 28 31 33 37,03 20,1,0,外れ
66,2014-07-11,5,04 05 08 15 23 30 36,01 11 25 28 31 33 37,03 20,0,0,外れ
67,2014-07-18,1,04 08 15 23 24 28 33,07 11 15 17 18 25 35,06 33,1,1,外れ
67,2014-07-18,2,04 05 08 15 23 28 36,07 11 15 17 18 25 35,06 33,1,0,外れ
67,2014-07-18,3,04 06 08 23 24 28 36,07 11 15 17 18 25 35,06 33,0,1,外れ
67,2014-07-18,4,04 05 07 08 23 24 28,07 11 15 17 18 25 35,06 33,1,0,外れ
67,2014-07-18,5,01 04 05 08 23 28 33,07 11 15 17 18 25 35,06 33,0,1,外れ
68,2014-07-25,1,04 07 08 15 23 24 28,02 07 13 15 24 34 35,12 23,3,1,6等
68,2014-07-25,2,04 05 08 15 23 28 36,02 07 13 15 24 34 35,12 23,1,1,外れ
68,2014-07-25,3,01 04 08 15 23 28 33,02 07 13 15 24 34 35,12 23,1,1,外れ
68,2014-07-25,4,04 08 15 23 24 33 36,02 07 13 15 24 34 35,12 23,2,1,外れ
68,2014-07-25,5,04 05 08 23 24 28 33,02 07 13 15 24 34 35,12 23,1,1,外れ
69,2014-08-01,1,04 07 08 15 23 24 28,13 17 20 22 28 29 37,11 12,1,0,外れ
69,2014-08-01,2,04 05 08 15 23 28 36,13 17 20 22 28 29 37,11 12,1,0,外れ
69,2014-08-01,3,04 08 15 23 24 33 36,13 17 20 22 28 29 37,11 12,0,0,外れ
69,2014-08-01,4,02 04 08 15 23 28 33,13 17 20 22 28 29 37,11 12,1,0,外れ
69,2014-08-01,5,02 04 07 15 23 24 36,13 17 20 22 28 29 37,11 12,0,0,外れ
70,2014-08-08,1,04 07 08 15 23 24 28,09 10 18 21 27 33 35,04 11,0,1,外れ
70,2014-08-08,2,04 08 15 17 23 28 36,09 10 18 21 27 33 35,04 11,0,1,外れ
70,2014-08-08,3,02 04 15 17 23 24 28,09 10 18 21 27 33 35,04 11,0,1,外れ
70,2014-08-08,4,04 05 08 15 23 28 33,09 10 18 21 27 33 35,04 11,1,1,外れ
70,2014-08-08,5,02 04 08 15 23 28 29,09 10 18 21 27 33 35,04 11,0,1,外れ
71,2014-08-15,1,04 07 08 15 23 24 28,01 06 13 29 34 35 37,02 15,0,1,外れ
71,2014-08-15,2,04 05 08 15 23 28 33,01 06 13 29 34 35 37,02 15,0,1,外れ
71,2014-08-15,3,04 15 17 23 24 28 33,01 06 13 29 34 35 37,02 15,0,1,外れ
71,2014-08-15,4,04 08 15 17 23 28 36,01 06 13 29 34 35 37,02 15,0,1,外れ
71,2014-08-15,5,04 08 15 23 24 33 36,01 06 13 29 34 35 37,02 15,0,1,外れ
72,2014-08-22,1,04 07 08 15 23 24 28,11 12 18 19 20 31 32,09 21,0,0,外れ
72,2014-08-22,2,04 08 15 23 28 29 33,11 12 18 19 20 31 32,09 21,0,0,外れ
72,2014-08-22,3,01 04 08 23 24 28 33,11 12 18 19 20 31 32,09 21,0,0,外れ
72,2014-08-22,4,04 06 15 23 24 28 33,11 12 18 19 20 31 32,09 21,0,0,外れ
