rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,0,g000_0065_1528,25620.060886,6,6,1,4,2026-06-11T21:27:39.882849+00:00
2,0,g000_0033_3223,23327.274968,6,9,1,4,2026-06-11T21:27:39.882864+00:00
3,0,g000_0001_5704,23043.20442,5,13,1,4,2026-06-11T21:27:39.882868+00:00
4,0,g000_0097_2938,22740.845361,6,8,1,4,2026-06-11T21:27:39.882871+00:00
5,0,g000_0077_3937,21204.345741,5,10,1,4,2026-06-11T21:27:39.882874+00:00
6,0,g000_0029_4008,20963.931313,6,5,1,4,2026-06-11T21:27:39.882876+00:00
7,0,g000_0049_2659,20442.264211,5,8,1,4,2026-06-11T21:27:39.882878+00:00
8,0,g000_0021_1469,20146.110166,5,8,1,4,2026-06-11T21:27:39.882889+00:00
9,0,g000_0017_6846,20027.118397,5,9,1,4,2026-06-11T21:27:39.882892+00:00
10,0,g000_0009_9219,19600.541117,5,6,1,4,2026-06-11T21:27:39.882894+00:00
