rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,1,g001_0123_5401,26726.975523,6,8,3,4,2026-06-12T03:25:33.057169+00:00
2,1,g001_0155_5461,23816.842348,6,10,3,4,2026-06-12T03:25:33.057187+00:00
3,1,g001_0091_9358,23779.860815,6,10,3,4,2026-06-12T03:25:33.057191+00:00
4,1,g001_0055_4031,23433.646441,6,9,3,4,2026-06-12T03:25:33.057194+00:00
5,1,g001_0159_7409,23185.301009,6,8,3,4,2026-06-12T03:25:33.057197+00:00
6,1,g001_0167_4008,23106.338269,6,9,3,4,2026-06-12T03:25:33.057200+00:00
7,1,g001_0119_7590,22907.771096,6,8,3,4,2026-06-12T03:25:33.057203+00:00
8,1,g001_0047_3080,22891.399179,6,8,3,4,2026-06-12T03:25:33.057215+00:00
9,1,g001_0175_5000,22812.862451,6,7,3,4,2026-06-12T03:25:33.057218+00:00
10,1,g001_0063_3200,22613.859728,6,8,3,4,2026-06-12T03:25:33.057221+00:00
